key	value
reference	resources/references/snv/chr2_chr4_chr20.fasta
intervals	resources/intervals/capture_targets.interval_list
java_mem_gb	8
ploidy	2
hc_max_reads_per_alignment_start	0
hc_native_pair_hmm_threads	1
git_commit	2829cf8f1026f1f319453222e92e9ca558f0d564
sha256:/mnt/c/Projects/prnp-somatic/src2/spikein/samples.tsv	6ff6d3176be295ff74d26f30c8cf9fb4de38f47600c04840839eca875a0c4e5a
sha256:/mnt/c/Projects/prnp-somatic/src2/spikein/1_sources_haplotypecaller.sh	a699c44f6f48dc4e988ae338b31b5d641b9d11ba075ab67e070edce6de937f23
sha256:/mnt/c/Projects/prnp-somatic/src/pipelines/1_controls_mutect2_no_pon.sh	1f9e680851c1c406ef5bba6967dbefcf2848aedadcfcc5229ff33e879ff31a8f
sha256:resources/references/snv/chr2_chr4_chr20.fasta	006d3cf10a3bf2b534ff8caecf1553a965b41d7aa61f28b30a358792e01e77ed
sha256:resources/references/snv/chr2_chr4_chr20.fasta.fai	263c12a886d9174de80ea772e84783288d9b67fc54a96897e87bdab64628040c
sha256:resources/references/snv/chr2_chr4_chr20.dict	d20ef2e7351e92a1748acde57daa556c41f3e55563ff7642bd6071a4d34e8d02
sha256:resources/intervals/capture_targets.interval_list	677a94392c4f9b923c1126eb325a9741522cb56c04b3d99fd23f280739c9ed35
sha256:/mnt/c/Projects/prnp-somatic/results/final_bam/A100_1to2.bam	7d72276225676cb861a5fa67c2e1ea89944ff59ba9824bcce665deafe60c42a7
sha256:/mnt/c/Projects/prnp-somatic/results/final_bam/A100_1to2.bam.bai	48a7b8018f684f187f69e33557a6dcd6ea6fab612793ddeb18ff04f0019f0b62
sha256:/mnt/c/Projects/prnp-somatic/results/final_bam/NA100_undil.bam	fb1c764dd1b1207940880314d327f8da35b1e9e6825398e57867da6cd5b63d0e
sha256:/mnt/c/Projects/prnp-somatic/results/final_bam/NA100_undil.bam.bai	8eb6d6d15639a14e93c2c0b31bdf39a4163db9da465a24d810e21fcb1b51aadd
